"label","name","super_class","is_extendable","sys_updated_on"
"Sysevent Queue Stats Node Detail","sysevent_queue_stats_node_detail","","false","2024-05-16 11:42:04"
"Event Registration","sysevent_register","Application File","false","2024-05-16 11:36:36"
"Script Action","sysevent_script_action","Rule","false","2024-05-16 11:36:36"
"Log Entry","syslog","","true","2024-05-16 11:36:23"
"Log Entry","syslog0000","","true","2024-05-16 11:54:57"
"Log Entry","syslog0001","","true","2024-05-16 11:54:59"
"Log Entry","syslog0002","","true","2024-05-16 11:55:00"
"Log Entry","syslog0003","","true","2024-05-16 11:55:01"
"Log Entry","syslog0004","","true","2024-05-16 11:55:02"
"Log Entry","syslog0005","","true","2024-05-16 11:55:03"
"Log Entry","syslog0006","","true","2024-05-16 11:55:04"
"Log Entry","syslog0007","","true","2024-05-16 11:55:05"
"App Log Entry","syslog_app_scope","Log Entry","false","2024-05-16 11:36:23"
"App Log Entry","syslog_app_scope0000","Log Entry","false","2024-05-16 11:54:58"
"App Log Entry","syslog_app_scope0001","Log Entry","false","2024-05-16 11:54:59"
"App Log Entry","syslog_app_scope0002","Log Entry","false","2024-05-16 11:55:00"
"App Log Entry","syslog_app_scope0003","Log Entry","false","2024-05-16 11:55:01"
"App Log Entry","syslog_app_scope0004","Log Entry","false","2024-05-16 11:55:02"
"App Log Entry","syslog_app_scope0005","Log Entry","false","2024-05-16 11:55:03"
"App Log Entry","syslog_app_scope0006","Log Entry","false","2024-05-16 11:55:05"
"App Log Entry","syslog_app_scope0007","Log Entry","false","2024-05-16 11:55:05"
"Transaction Cancellation Log Entry","syslog_cancellation","","false","2024-05-16 11:36:23"
"Transaction Cancellation Log Entry","syslog_cancellation0000","","false","2024-05-16 12:43:07"
"Transaction Cancellation Log Entry","syslog_cancellation0001","","false","2024-05-16 12:43:08"
"Transaction Cancellation Log Entry","syslog_cancellation0002","","false","2024-05-16 12:43:08"
"Transaction Cancellation Log Entry","syslog_cancellation0003","","false","2024-05-16 12:43:09"
"Transaction Cancellation Log Entry","syslog_cancellation0004","","false","2024-05-16 12:43:09"
"Transaction Cancellation Log Entry","syslog_cancellation0005","","false","2024-05-16 12:43:10"
"Transaction Cancellation Log Entry","syslog_cancellation0006","","false","2024-05-16 12:43:10"
