"label","name","super_class","is_extendable","sys_updated_on"
"HTTP Headers","sys_rest_message_fn_headers","Application File","false","2024-12-02 17:25:24"
"Variable Substitutions","sys_rest_message_fn_parameters","Application File","false","2014-11-03 07:57:39"
"HTTP Query Parameters","sys_rest_message_fn_param_defs","Application File","false","2024-12-02 17:25:25"
"Test Runs","sys_rest_message_fn_test","","false","2024-12-02 17:25:24"
"HTTP Headers","sys_rest_message_headers","Application File","false","2024-12-02 17:25:25"
"Retry Policy","sys_retry_policy","Application File","false","2024-12-02 17:46:17"
"Robust Import Set Transformer","sys_robust_import_set_transformer","Application File","false","2024-12-02 17:24:53"
"Role Filter Criteria","sys_role_filter_criteria","User Based Filter Criteria","false","2024-12-02 17:59:07"
"Denied Rollback Operation","sys_rollback_blacklisted","","false","2024-12-02 17:24:35"
"Sys Rollback Checksum","sys_rollback_checksum","","false","2024-12-02 17:24:35"
"Rollback Conflict","sys_rollback_conflict","","false","2024-12-02 17:24:35"
"Rollback Context","sys_rollback_context","","false","2024-12-02 17:24:35"
"Recorded Incremental Change","sys_rollback_incremental","","false","2024-12-02 17:24:35"
"Rollback Log","sys_rollback_log","Log Entry","false","2024-12-02 17:24:35"
"Rollback Log","sys_rollback_log0000","Log Entry","false","2024-12-02 17:45:01"
"Rollback Log","sys_rollback_log0001","Log Entry","false","2024-12-02 17:45:03"
"Rollback Log","sys_rollback_log0002","Log Entry","false","2024-12-02 17:45:04"
"Rollback Log","sys_rollback_log0003","Log Entry","false","2024-12-02 17:45:05"
"Rollback Log","sys_rollback_log0004","Log Entry","false","2024-12-02 17:45:07"
"Rollback Log","sys_rollback_log0005","Log Entry","false","2024-12-02 17:45:08"
"Rollback Log","sys_rollback_log0006","Log Entry","false","2024-12-02 17:45:09"
"Rollback Log","sys_rollback_log0007","Log Entry","false","2024-12-02 17:45:10"
"Execution History","sys_rollback_run","","false","2024-12-02 17:24:35"
"Recorded Schema Change","sys_rollback_schema_change","","false","2024-12-02 17:24:35"
"Schema Change Conflict","sys_rollback_schema_conflict","","false","2024-12-02 17:24:35"
"Rollback Sequence","sys_rollback_sequence","","false","2024-12-02 17:24:35"
"Robust Transform Definition","sys_rte_definition","Application File","true","2024-12-02 17:31:00"
"RTE Entity Concatenation Operation","sys_rte_eb_concat_operation","RTE Entity Operation","false","2024-12-02 17:31:01"
"RTE Entity Copy Operation","sys_rte_eb_copy_operation","RTE Entity Operation","false","2024-12-02 17:31:01"
